ATTR_DATA_ID,OBJ_ID,VER_NBR,PERM_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
OLE517,OLE517,1,OLE358,52,13,OLE_DV
OLE518,OLE518,1,OLE358,52,16,Travel
OLE519,OLE519,1,OLE358,52,6,sourceAccountingLines.financialObjectCode
OLE522,OLE522,1,OLE361,3,13,OLE_CDS
OLE523,OLE523,1,OLE362,OLECNTRB199-TYP1,4,OLE*
OLE550,OLE550,1,OLE363,10,4,OLE-PDP
OLE551,OLE551,1,OLE363,10,5,PurchasingPaymentDetail
OLE552,OLE552,1,OLE364,11,5,VendorDetail
OLE553,OLE553,1,OLE364,11,6,vendorHeader.vendorTaxTypeCode
OLE554,OLE554,1,OLE365,8,13,OLE_PREQ
OLE555,OLE555,1,OLE365,8,15,P
OLE556,OLE556,1,OLE366,8,13,OLE_PREQ
OLE557,OLE557,1,OLE366,8,15,F
OLE558,OLE558,1,OLE367,8,13,OLE_CM
OLE559,OLE559,1,OLE367,8,15,P
OLE560,OLE560,1,OLE368,8,13,OLE_CM
OLE561,OLE561,1,OLE368,8,15,F
OLE569,OLE569,1,OLE372,3,13,OLE_CMD
OLE570,OLE570,1,OLE373,3,13,OLE_PREQ
OLE571,OLE571,1,OLE374,3,13,OLE_DV
OLE574,OLE574,1,OLE379,3,13,IdentityManagementGroupDocument
OLE575,OLE575,1,OLE380,3,13,OLE_GORV
OLE576,OLE576,1,OLE381,11,5,DisbursementVoucherWireTransfer
OLE577,OLE577,1,OLE381,11,6,disbVchrPayeeAccountNumber
OLE578,OLE578,1,OLE382,8,13,OpenLibraryEnvironmentSimpleMaintenanceDocument
OLE580,OLE580,1,OLE382,8,16,AdHoc
OLE582,OLE582,1,OLE382,8,15,R
OLE579,OLE579,1,OLE383,8,13,OpenLibraryEnvironmentComplexMaintenanceDocument
OLE581,OLE581,1,OLE383,8,16,AdHoc
OLE583,OLE583,1,OLE383,8,15,R
OLE586,OLE586,1,OLE385,15,1,collectorFlatFileInputFileType
OLE587,OLE587,1,OLE386,11,5,PaymentGroup
OLE588,OLE588,1,OLE386,11,6,achBankRoutingNbr
OLE589,OLE589,1,OLE387,11,5,AchAccountNumber
OLE590,OLE590,1,OLE387,11,6,achBankAccountNbr
OLE591,OLE591,1,OLE390,5,13,OLE
OLE592,OLE592,1,OLE390,5,14,A
OLE593,OLE593,1,OLE391,5,13,OLE
OLE594,OLE594,1,OLE391,5,14,F
OLE595,OLE595,1,OLE392,5,13,OLE
OLE596,OLE596,1,OLE392,5,14,K
OLE74,OLE74,1,OLE55,3,13,OLE_GOBJ
OLE75,OLE75,1,OLE56,3,13,OLE_ORGR
OLE79,OLE79,1,OLE60,11,5,SubAccount
OLE80,OLE80,1,OLE60,11,6,a21SubAccount
OLE81,OLE81,1,OLE61,11,5,Organization
OLE82,OLE82,1,OLE61,11,6,organizationPlantChartCode
OLE83,OLE83,1,OLE62,11,5,Organization
OLE84,OLE84,1,OLE62,11,6,organizationPlantAccountNumber
OLE85,OLE85,1,OLE63,11,5,Organization
OLE86,OLE86,1,OLE63,11,6,campusPlantChartCode
OLE87,OLE87,1,OLE64,11,5,Organization
OLE88,OLE88,1,OLE64,11,6,campusPlantAccountNumber
OLE90,OLE90,1,OLE66,OLE51,13,OLE_DI
OLE91,OLE91,1,OLE67,OLE51,13,OLE_YEDI
OLE93,OLE93,1,OLE69,3,13,OLE_CMD
OLE94,OLE94,1,OLE70,3,13,OLE_SB
OLE95,OLE95,1,OLE71,3,13,OLE_JV
OLE96,OLE96,1,OLE72,3,13,OLE_PCDO
OLE97,OLE97,1,OLE73,11,5,ProcurementCardHolder
OLE98,OLE98,1,OLE73,11,6,transactionCreditCardNumber
OLE100,OLE100,1,OLE74,15,1,procurementCardInputFileType
OLE101,OLE101,1,OLE75,3,13,OLE_GLCP
OLE103,OLE103,1,OLE76,15,1,collectorXmlInputFileType
OLE105,OLE105,1,OLE77,15,1,enterpriseFeederFileSetType
OLE108,OLE108,1,OLE81,3,13,OLEPreDisbursementProcessorSimpleMaintenanceDocument
OLE110,OLE110,1,OLE88,10,4,OLE-PDP
OLE111,OLE111,1,OLE89,10,4,OLE-PDP
OLE113,OLE113,1,OLE90,15,1,paymentInputFileType
OLE114,OLE114,1,OLE91,3,13,OLE_PREQ
OLE115,OLE115,1,OLE92,3,13,OLE_REQS
OLE116,OLE116,1,OLE93,3,13,OLE_PUR
OLE117,OLE117,1,OLE94,3,13,OLE_PO
OLE118,OLE118,1,OLE95,3,13,OLE_POC
OLE119,OLE119,1,OLE96,3,13,OLE_PORT
OLE120,OLE120,1,OLE97,3,13,OLE_PREQ
OLE121,OLE121,1,OLE98,3,13,OLE_RCV
OLE122,OLE122,1,OLE99,3,13,OLE_EIRT
OLE10001,OLE10001,1,OLE1101,3,13,OLE
OLE10003,OLE10003,1,OLE1103,3,13,OLE
OLE1500,OLE1500,1,OLE1500,15,1,marcInputFileType
OLESEC6001-1,OLESEC6001-1,1,OLESEC6001,3,13,OLEAccessSecuritySimpleMaintenanceDocument
OLESEC6002-1,OLESEC6002-1,1,OLESEC6002,10,4,OLE-SEC
OLESEC6003-1,OLESEC6003-1,1,OLESEC6003,10,4,OLE-SEC
OLESEC6004-1,OLESEC6004-1,1,OLESEC6004,8,13,OLEAccessSecuritySimpleMaintenanceDocument
OLESEC6004-2,OLESEC6004-2,1,OLESEC6004,8,16,PreRoute
OLEPURAP6940-01,OLEPURAP6940-01,1,OLEPURAP6940,11,5,PurchaseOrderDocument
OLEPURAP6940-02,OLEPURAP6940-02,1,OLEPURAP6940,11,6,purapDocumentIdentifier
OLESYS6007-1,OLESYS6007-1,1,OLESYS6007,14,13,OLE_DV
