PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE80141,OLE80141,1,1,OLE-SELECT,Create Vendor Division,Authorizes users to Edit Vendor Document,Y
OLE80142,OLE80142,1,1,OLE-SELECT,Deactivate Vendor,Authorizes users to deactivate Vendor Document,Y
OLE80155,OLE80155,1,1,OLE-SELECT,Delete UnApproved PREQ Document,This Permission is used to delete the unapproved Payment Request Documents.,Y
OLE80156,OLE80156,1,1,OLE-SELECT,Delete Approved PREQ Document,This Permission is used to delete the approved Payment Request Documents.,Y
OLE80157,OLE80157,1,10,OLE-SELECT,Initiate Document OLE_DI,This Permission is for Initiating the Distribution of Income and Expense Document.,Y
OLE80158,OLE80158,1,10,OLE-SELECT,Initiate Document OLE_DV,This Permission is for Initiating the Disbursement Voucher Document.,Y
OLE80159,OLE80159,1,16,OLE-SELECT,Edit Document OLE_DV PreRoute,This Permission is for the Disbursement Voucher document in the PreRoute state.,Y
OLE80160,OLE80160,1,16,OLE-SELECT,Edit Document OLE_DV ENROUTE,This Permission is for the Disbursement Voucher Document which is in Enroute state.,Y
OLE80161,OLE80161,1,16,OLE-SELECT,Edit Document OLE_CM PreRoute,This Permission is for the Credit Memo which is in PreRoute state.,Y
OLE80162,OLE80162,1,10,OLE-SELECT,Initiate Document OLE_GEC,Initiate Permission of the General Error Correction Document.,Y
OLE80163,OLE80163,1,1,OLE-SELECT,Edit Vendor Linking Number,Allows users to edit Vendor Linking Number.,Y
OLE80164,OLE80164,1,10,OLE-SELECT,Initiate Budget Document,Allows to create Budget Adjustment document.,Y
OLE80165,OLE80165,1,16,OLE-SELECT,Edit Budget Document,Allows to edit Budget Adjustment document.,Y
OLE80166,OLE80166,1,10,OLE-SELECT,Initiate Transfer Fund Document,Allows to create Transfer Fund document.,Y
OLE80167,OLE80167,1,16,OLE-SELECT,Edit Transfer Fund Document,Allows to edit Transfer Fund document.,Y
OLE80168,OLE80168,1,10,OLE-SELECT,Initiate Deposit Document,Allows to create Deposit Adjustment document.,Y
OLE80169,OLE80169,1,16,OLE-SELECT,Edit Deposit Document,Allows to edit Deposit Adjustment document.,Y
OLE80170,OLE80170,1,1,OLE-SELECT,Edit Restriction,Allows users to edit restriction on accounts.,Y
OLE80171,OLE80171,1,1,OLE-SELECT,Edit Sufficient fund check,Allows users to edit Sufficient fund check on accounts.,Y
OLE80172,OLE80172,1,1,OLE-SELECT,Upload Budget,Allows users to upload budget file.,Y
OLE80333,OLE80333,1,5,OLE-SELECT,Route Document.,Authorizers the users to route the Payment request Document.,Y
OLE80510,OLE80510,1,4,OLE-SELECT,Approve OLE_REQS,Allow users to approve and cancel requisition document.,Y
OLE80511,OLE80511,1,10,OLE-SELECT,Initiate Document(PURAP),Allow users to Create the Purchasing Accounts Payable Simple Maintenance documents.,Y
OLE80512,OLE80512,1,16,OLE-SELECT,Edit Document(PURAP),Allow users to Edit the Purchasing Accounts Payable Simple Maintenance documents.,Y
OLE80513,OLE80513,1,10,OLE-SELECT,Initiate Document(COA),Allow users to Create the  Chart Simple Maintenance documents.,Y
OLE80514,OLE80514,1,16,OLE-SELECT,Edit Document(COA),Allow users to Edit the Chart Simple Maintenance documents.,Y
OLE80515,OLE80515,1,10,OLE-SELECT,Initiate Document(RCV),Allow users to Create the  Receiving Maintenance documents.,Y
OLE80516,OLE80516,1,16,OLE-SELECT,Edit Document(RCV),Allow users to Edit the Receiving Maintenance documents.,Y
OLE80517,OLE80517,1,10,OLE-SELECT,Initiate Document(Invoice),Allow users to Create the  Invoicing Maintenance documents.,Y
OLE80518,OLE80518,1,16,OLE-SELECT,Edit Document(Invoice),Allow users to Edit the Invoicing Maintenance documents.,Y
OLE80519,OLE80519,1,10,OLE-SELECT,Initiate Document(Complex RCV),Allow users to Create the  Complex Receiving Maintenance documents.,Y
OLE80520,OLE80520,1,16,OLE-SELECT,Edit Document(Complex RCV),Allow users to Edit the Complex Receiving Maintenance documents.,Y
OLE80521,OLE80521,1,10,OLE-SELECT,Initiate Document (Complex PURAP),Allow users to Create the Purchasing Accounts Payable Complex Maintenance documents.,Y
OLE80522,OLE80522,1,16,OLE-SELECT,Edit Document (Complex PURAP),Allow users to Edit the Purchasing Accounts Payable Complex Maintenance documents.,Y
OLE80523,OLE80523,1,10,OLE-SELECT,Initiate Document (Complex COA),Allow users to Create the  Chart Complex Maintenance documents.,Y
OLE80524,OLE80524,1,16,OLE-SELECT,Edit Document (Complex COA),Allow users to Edit the Chart Complex Maintenance documents.,Y
OLE10123,OLE10123,1,10,OLE-SELECT,Initiate Invoice Document,Authorizes the initiation of the Invoice Document.,N
OLE10124,OLE10124,1,16,OLE-SELECT,Edit ENROUTE Invoice Document,Authorizes users who can edit Invoice Documents that are in ENROUTE status.,Y
OLE10125,OLE10125,1,16,OLE-SELECT,Edit PROCESSED Invoice Document,Authorizes users who can edit Invoice Documents that are in ENROUTE status.,Y
OLE10126,OLE10126,1,16,OLE-SELECT,Edit FINAL Invoice Document,Authorizes users who can edit Invoice Documents that are in ENROUTE status.,Y
OLE10127,OLE10127,1,OLE41,OLE-SELECT,Modify PRQS Account Accounting Lines,Allows users to modify the Source accounting lines on documents answering to the parent document Accounts PayableTransactional Document when a document is at the Account Node of routing.,Y
OLE10128,OLE10128,1,31,OLE-SELECT,Cancel Invoice,Users authorized to take the Request Cancel action on Invoice documents.,Y
OLE10129,OLE10129,1,16,OLE-SELECT,Edit Invoice Document,Edit permission Invoice document prior to the document being submitted.,Y
OLE10130,1203,1,10,OLE-PTRN,Initiate Borrower Document,Initiate Borrower Document,Y
OLE10131,1204,1,23,KR-NS,Look up Borrower Document,Look up Borrower Document,Y
OLE10132,1206,1,24,KR-NS,Inquire Borrower Document,Inquire Borrower Document,Y
OLE10133,1014,1,57,KR-KRAD,Edit Location Level Name Field,Editing Location Level Name Field,Y
OLE10134,1015,1,23,KR-KRAD,View Location Level,View Location Level Document,Y
OLE10135,OLE100051,1,1,OLE-LIC,License Request workflow initial filter,License Request workflow initial filter,Y
OLE10136,OLE100061,1,1,OLE-LIC,Full License Request workflow,Full License Request workflow,Y
OLE10137,OLE100071,1,1,OLE-LIC,License Request secondary filter,License Request secondary filter,Y
OLE10138,1008,1,10,OLE-PTRN,Initiate AddressType Document,Initiate AddressType Document,Y
OLE10139,1009,1,16,OLE-PTRN,Edit AddressType Document,Edit AddressType Document,Y
OLE10140,1010,1,10,OLE-PTRN,Initiate EmailType Document,Initiate EmailType Document,Y
OLE10141,1011,1,16,OLE-PTRN,Edit EmailType Document,Edit EmailType Document,Y
OLE10142,1012,1,10,OLE-PTRN,Initiate PhoneType Document,Initiate PhoneType Document,Y
OLE10143,1013,1,16,OLE-PTRN,Edit PhoneType Document,Edit PhoneType Document,Y
OLE10144,1016,1,10,OLE-CAT,Initiate Access Method Document,Initiate Access Method Document,Y
OLE10145,1017,1,10,OLE-CAT,Initiate Acquisition Method Document,Initiate Acquisition Method Document,Y
OLE10146,1018,1,10,OLE-CAT,Initiate Action Document,Initiate Action Document,Y
OLE10147,1019,1,10,OLE-CAT,Initiate Completeness Document,Initiate Completeness Document,Y
OLE10148,1020,1,10,OLE-CAT,Initiate Country Codes Document,Initiate Country Codes Document,Y
OLE10149,1021,1,10,OLE-CAT,Initiate Location Status Document,Initiate Location Status Document,Y
OLE10150,1022,1,10,OLE-CAT,Initiate Shelving Order Document,Initiate Shelving Order Document,Y
OLE10151,1023,1,10,OLE-CAT,Initiate Shelving Scheme Document,Initiate Shelving Scheme Document,Y
OLE10152,1024,1,10,OLE-CAT,Initiate Specific Retention Policy Document,Initiate Specific Retention Policy Document,Y
OLE10153,1025,1,10,OLE-CAT,Initiate Seperate Or Composite Report Document,Initiate Seperate Or Composite Report Document,Y
OLE10154,1026,1,10,OLE-CAT,Initiate Record Type Document,Initiate Record Type Document,Y
OLE10155,1027,1,10,OLE-CAT,Initiate Lending Policy Document,Initiate Lending Policy Document,Y
