ROLE_PERM_ID,OBJ_ID,ROLE_ID,PERM_ID,ACTV_IND
OLE12333,OLE70537,OLE10073,OLE10311,Y
OLE12334,OLE70538,OLE10074,OLE10311,Y
OLE12335,OLE70539,OLE10073,OLE10312,Y
OLE12336,OLE70540,OLE10074,OLE10312,Y
OLE12337,OLE70541,OLE10073,OLE10313,Y
OLE12338,OLE70542,OLE10074,OLE10313,Y
OLE12339,OLE70543,OLE10076,OLE10311,Y
OLE12340,OLE70544,OLE10076,OLE10312,Y
OLE12341,OLE70545,OLE10073,OLE10314,Y
OLE12342,OLE70546,OLE10074,OLE10314,Y
OLE12343,OLE70547,OLE10073,OLE10315,Y
OLE12344,OLE70548,OLE10074,OLE10315,Y
OLE12345,OLE70549,OLE10085,OLE10316,Y
OLE12346,OLE70550,OLE10085,OLE10317,Y
OLE12347,OLE70551,OLE10086,OLE10318,Y
OLE12348,OLE70552,OLE10086,OLE10319,Y
OLE12349,OLE70553,OLE10086,OLE10320,Y
OLE12350,OLE70554,OLE10086,OLE10321,Y
OLE12351,OLE70555,OLE10086,OLE10322,Y
OLE12352,OLE70556,OLE10086,OLE10323,Y
OLE12353,OLE70557,OLE10073,OLE10324,Y
OLE12354,OLE12354,OLE10074,OLE10324,Y
OLE12355,OLE12355,OLE10073,OLE10325,Y
OLE12356,OLE12356,OLE10074,OLE10325,Y
OLE12357,OLE12357,OLE10076,OLE10325,Y
OLE12358,OLE70558,OLE10068,OLE10327,Y
OLE12359,OLE70559,OLE10071,OLE10326,Y
OLE12360,OLE12360,OLE10071,OLE10327,Y
OLE12361,OLE12361,OLE10006,OLE10326,Y
OLE12362,OLE12362,OLE10006,OLE10327,Y
OLE12363,OLE12363,OLE10064,OLE10328,Y
OLE12364,OLE12364,OLE10065,OLE10328,Y
OLE12365,OLE12365,OLE10066,OLE10328,Y
OLE12366,OLE12366,OLE10067,OLE10328,Y
OLE12367,OLE12367,OLE10068,OLE10328,Y
OLE12368,OLE12308,OLE10064,OLE10329,Y
OLE12369,OLE12369,OLE10065,OLE10329,Y
OLE12370,OLE12370,OLE10066,OLE10329,Y
OLE12371,OLE12371,OLE10067,OLE10329,Y
OLE12372,OLE12372,OLE10068,OLE10329,Y
OLE12373,OLE70575,OLE44,OLE10330,Y
OLE12500,OLE12500,OLE10064,OLE10500,Y
OLE12501,OLE12501,OLE10065,OLE10500,Y
OLE12502,OLE12502,OLE10066,OLE10500,Y
OLE12503,OLE12503,OLE10067,OLE10500,Y
OLE12504,OLE12504,OLE10068,OLE10500,Y
OLE12505,OLE12505,OLE44,OLE10501,Y
OLE10800,OLE10800,OLE10076,OLE10502,Y
OLE10801,OLE10801,OLE10076,OLE10503,Y
OLE10802,OLE10802,OLE10074,OLE10504,Y
OLE10803,OLE10803,OLE10074,OLE10505,Y
OLE10804,OLE10804,OLE10073,OLE10502,Y
OLE10805,OLE10805,OLE10073,OLE10503,Y
OLE10806,OLE10806,OLE10073,OLE10504,Y
OLE10807,OLE10807,OLE10073,OLE10505,Y
OLE10808,OLE10808,OLE10073,OLE10506,Y
OLE12506,OLE12506,OLE10077,OLE3010502,Y
OLE12507,OLE12507,OLE10078,OLE3010502,Y
OLE12508,OLE12508,OLE10079,OLE3010502,Y
OLE12509,OLE12509,OLE10080,OLE3010502,Y
OLE12510,OLE12510,OLE10082,OLE3010502,Y
